rank,name,basename,genre,esrb_rating,platform,publisher,developer,jp_sales,year
19930,Battle of Sunrise,battle-of-sunrise,Strategy,unrated,playstation,Sunrise Interactive,Sunrise Interactive,0,2008
19932,Beniiro Tenjou Ayakashi Kitan Futaai,beniiro-tenjou-ayakashi-kitan-futaai,Adventure,unrated,playstation,Dramatic Create,Dramatic Create,0,2018
19933,Major Dream: Major Wii Perfect Closer,major-dream-major-wii-perfect-closer,Sports,unrated,nintendo,Takara Tomy,Takara Tomy,0,2008
19934,Winning Post World 2010,winning-post-world-2010,Sports,unrated,xbox,KOEI,Koei,0,2010
19935,Tir Na Nog Yuukyuu no Jin,tir-na-nog-yuukyuu-no-jin,Role-Playing,unrated,playstation,System Soft,System Soft,0,2009
19936,Yotsunoha: A Journey of Sincerity,yotsunoha-a-journey-of-sincerity,Adventure,unrated,playstation,Gadget Soft,Gadget Soft,0,2008
19937,Zoids Assault(JP sales),zoids-assaultjp-sales,Action,unrated,xbox,Unknown,Unknown,0,2008
19944,Conflict: Denied Ops (JP sales),conflict-denied-ops-jp-sales,Action,M,playstation,Eidos Interactive Ltd,Pivotal Games,0,2008
19946,L2: Love x Loop,l2-love-x-loop,Adventure,unrated,playstation,Idea Factory,Idea Factory,0,2009
19949,Kimokawae!,kimokawae,Adventure,unrated,other,5pb,5pb. Inc.,0,2009
19952,Koutetsu no Kishi 2: Sabaku no Rommel Shougun,koutetsu-no-kishi-2-sabaku-no-rommel-shougun,Strategy,unrated,nintendo,Asmik Ace Entertainment,Dual,0,1994
19954,Kumatanchi,kumatanchi,Simulation,unrated,other,Dimple Entertainment,Vanillaware,0,2008
19955,Shin Megami Tensei IV Double Hero Pack,shin-megami-tensei-iv-double-hero-pack,Action,unrated,nintendo,Atlus,Atlus,0,2018
19958,Game Tengoku: CruisinMix,game-tengoku-cruisinmix,Shooter,unrated,playstation,Chara-ani,Chara-ani,0,2017
19963,Winning Post 7 Maximum 2008,winning-post-7-maximum-2008,Sports,unrated,nintendo,KOEI,Koei,0,2008
19969,Tetris: The Grand Master Ace,tetris-the-grand-master-ace,Puzzle,unrated,xbox,AQ Interactive,Arika,0,2005
19971,The Dark Spire (JP sales),the-dark-spire-jp-sales,Role-Playing,E10,other,Atlus,Success,0,2009
19972,12Riven: The Psi-Climinal of Integral,12riven-the-psi-climinal-of-integral,Adventure,unrated,playstation,CyberFront,KID Corporation,0,2009
19983,Solfege: Sweet Harmony,solfege-sweet-harmony,Adventure,unrated,playstation,GungHo,GungHo Works,0,2008
19984,Yumemi Hakusho: Second Dream,yumemi-hakusho-second-dream,Adventure,unrated,playstation,Princess Soft,Princess Soft,0,2008
19987,Will O' Wisp Portable,will-o-wisp-portable,Adventure,unrated,playstation,Idea Factory,Idea Factory,0,2009
19990,Eiken Kakomon Daishuuroku: Eiken DS 2 Deluxe,eiken-kakomon-daishuuroku-eiken-ds-2-deluxe,Misc,unrated,other,Rocket Company,Rocket Company,0,2009
19991,Floral Flowlove,floral-flowlove,Visual Novel,unrated,playstation,Entergram,Entergram,0,2018
19992,Never7 ã€œthe end of infinityã€œ,never7-amp12316the-end-of-infinityamp12316,Adventure,unrated,playstation,CyberFront,KID Corporation,0,2009
19993,Chain Chronicle,chain-chronicle,Misc,unrated,playstation,Sega,Unknown,0,2014
19994,Usotsuki Shangri-La,usotsuki-shangri-la,Adventure,unrated,playstation,Rejet,Rejet,0,2017
19995,Dillon's Dead-Heat Breakers,dillons-dead-heat-breakers,Action,unrated,nintendo,Nintendo,Nintendo,0,2018
19997,Kamen no Maid Guy: Boyoyon Battle Royale,kamen-no-maid-guy-boyoyon-battle-royale,Adventure,unrated,playstation,Gadget Soft,Gadget Soft,0,2009
20001,Othello de Othello DS,othello-de-othello-ds,Misc,unrated,other,MegaHouse,MegaHouse,0,2008
20003,Crayon Shin-Chan Gekiatsu! Oden Wa ~ Rudo Dai Konran!!,crayon-shin-chan-gekiatsu-oden-wa-rudo-dai-konran,Action,unrated,nintendo,FuRyu Corporation,FuRyu,0,2017
