rank,name,basename,genre,esrb_rating,platform,publisher,developer,global_sales,year,region,regional_sales
156,Red Dead Redemption,red-dead-redemption,Action,M,other,Rockstar Games,Rockstar San Diego,6.57,2011,other,1
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,other,Ubisoft,Ubisoft Montreal,6.5,2012,north america,2.65
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,other,Ubisoft,Ubisoft Montreal,6.5,2012,europe,2.61
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,other,Ubisoft,Ubisoft Montreal,6.5,2012,japan,0.16
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,other,Ubisoft,Ubisoft Montreal,6.5,2012,other,1.08
161,Red Dead Redemption,red-dead-redemption,Action,M,other,Rockstar Games,Rockstar San Diego,6.5,2010,north america,3.77
161,Red Dead Redemption,red-dead-redemption,Action,M,other,Rockstar Games,Rockstar San Diego,6.5,2010,europe,2.03
161,Red Dead Redemption,red-dead-redemption,Action,M,other,Rockstar Games,Rockstar San Diego,6.5,2010,japan,0.09
161,Red Dead Redemption,red-dead-redemption,Action,M,other,Rockstar Games,Rockstar San Diego,6.5,2010,other,0.6
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,6.49,2011,north america,2.57
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,6.49,2011,europe,2.68
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,6.49,2011,japan,0.25
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,6.49,2011,other,0.99
166,Halo 3: ODST,halo-3-odst,Shooter,M,other,Microsoft Game Studios,Bungie,6.35,2009,north america,4.34
